City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,touros,-5.1989,-35.4608,299.29,74,69,6.13,BR,1697361644
84,altai,46.3722,96.2583,282.66,27,78,9.15,MN,1697361668
85,vila franca do campo,37.7167,-25.4333,295.38,99,100,5.84,PT,1697361669
86,urupes,-21.2017,-49.29,293.78,76,1,4.22,BR,1697361670
87,homocea,46.1333,27.2333,290.74,39,4,1.41,RO,1697361673
88,lebu,-37.6167,-73.65,281.86,80,78,7.14,CL,1697361674
89,borodulikha,50.7184,80.9295,279.4,87,100,6.86,KZ,1697361425
90,oranjemund,-28.55,16.4333,291.64,59,0,4.06,NA,1697361676
91,hermanus,-34.4187,19.2345,292.55,58,29,8.96,ZA,1697361678
92,qamdo,31.1667,97.2333,277.06,55,96,2.59,CN,1697361680
93,xudat,41.631,48.681,292.56,59,0,6.38,AZ,1697361681
94,babayevo,59.3936,35.9371,281.04,77,100,5.37,RU,1697361682
95,manching,48.7166,11.4939,282.7,87,91,3.6,DE,1697361684
96,kerouane,9.2667,-9.0167,298.87,79,72,0.48,GN,1697361498
97,kingston,17.997,-76.7936,301.68,85,20,2.57,JM,1697361596
98,sao gabriel da cachoeira,-0.1303,-67.0892,295.72,93,81,1.02,BR,1697361687
99,samastipur,25.85,85.7833,305.9,40,0,3.18,IN,1697361688
100,moram,17.8,76.4667,305.07,31,46,3.72,IN,1697361689
101,lago da pedra,-4.3333,-45.1667,296.1,92,81,1.41,BR,1697361691
102,longyearbyen,78.2186,15.6401,273.06,74,75,9.26,SJ,1697361692
103,hauterive,46.0901,3.4459,285.57,58,78,1.61,FR,1697361694
104,margate,51.3813,1.3862,282.98,63,1,3.58,GB,1697361695
105,kegeyli shahar,42.7767,59.6078,289.2,18,97,3.75,UZ,1697361696
106,olean,42.0776,-78.4297,281.53,100,100,3.6,US,1697361697
107,brajarajnagar,21.8167,83.9167,307.2,36,20,1.54,IN,1697361698
108,belmopan,17.25,-88.7667,298.36,88,87,0.62,BZ,1697361700
109,yellowknife,62.456,-114.3525,281.71,95,0,5.66,CA,1697361701
110,jiuquan,39.7432,98.5174,293.15,12,6,2.42,CN,1697361702
111,plettenberg bay,-34.0527,23.3716,291.22,65,16,4.16,ZA,1697361703
112,midvagur,62.0511,-7.1939,276.61,70,75,2.06,FO,1697361704
113,vadso,70.0744,29.7487,276.64,93,100,10.29,NO,1697361705
114,kerikeri,-35.2268,173.9474,286.43,86,63,1.86,NZ,1697361708
115,oroqen zizhiqi,50.5667,123.7167,278.25,34,0,5.97,CN,1697361709
116,mermoz boabab,14.7065,-17.4758,303.03,84,0,3.09,SN,1697361711
117,saldanha,-33.0117,17.9442,294.18,65,28,2.36,ZA,1697361712
118,east london,-33.0153,27.9116,292.67,77,75,3.09,ZA,1697361713
119,west island,-12.1568,96.8225,300.14,74,75,5.66,CC,1697361714
120,ironton,38.5368,-82.6829,284.35,84,27,3.41,US,1697361715
121,pisco,-13.7,-76.2167,291.18,82,100,1.03,PE,1697361716
122,el calafate,-50.3408,-72.2768,277.5,76,61,3.59,AR,1697361717
123,loudeac,48.1783,-2.7543,284.66,63,98,4.06,FR,1697361718
124,saipan,15.1355,145.701,301.54,78,0,0.0,MP,1697361431
125,hawaiian paradise park,19.5933,-154.9731,295.95,99,100,3.09,US,1697361722
126,sabang,5.8933,95.3214,300.85,77,100,7.52,ID,1697361723
127,orchard homes,46.8633,-114.0484,282.55,84,75,1.34,US,1697361725
128,qaqortoq,60.7167,-46.0333,275.76,66,21,1.81,GL,1697361726
129,ust-nera,64.5667,143.2,263.83,92,98,0.89,RU,1697361727
130,makokou,0.5738,12.8642,298.34,78,100,0.54,GA,1697361728
131,brisas de zicatela,15.8369,-97.0419,299.42,86,100,1.83,MX,1697361729
132,westport,41.1415,-73.3579,284.77,85,100,5.14,US,1697361456
133,teluknaga,-6.0989,106.6381,308.25,59,20,8.75,ID,1697361731
